libsecsdk.so base address:0x70225dd000
0x702260036c[libsecsdk.so@0x2336c]		mov	x19, #0	
0x7022600370[libsecsdk.so@0x23370]		stp	x25, x26, [sp, #48]	X25=0x4 X26=0x708a81f3e8 SP=0x708b79f3d0
0x7022600374[libsecsdk.so@0x23374]		stp	x27, x30, [sp, #64]	X27=0x0 LR=0x70225ebc90 SP=0x708b79f3d0
0x7022600378[libsecsdk.so@0x23378]		add	x20, sp, #88	SP=0x708b79f3d0
0x702260037c[libsecsdk.so@0x2337c]		add	x21, sp, #136	SP=0x708b79f3d0
0x7022600380[libsecsdk.so@0x23380]		ldr	x3, [x3]	X3=0x711ac85510
0x7022600384[libsecsdk.so@0x23384]		add	x22, sp, #184	SP=0x708b79f3d0
0x7022600388[libsecsdk.so@0x23388]		str	x20, [sp, #120]	X20=0x708b79f428 SP=0x708b79f3d0
0x702260038c[libsecsdk.so@0x2338c]		mov	x27, x0	X0=0x708a81f3e8
0x7022600390[libsecsdk.so@0x23390]		str	x20, [sp, #128]	X20=0x708b79f428 SP=0x708b79f3d0
0x7022600394[libsecsdk.so@0x23394]		mov	x25, x1	X1=0x708a819500
0x7022600398[libsecsdk.so@0x23398]		str	x3, [sp, #280]	X3=0xdcf65037242d4fae SP=0x708b79f3d0
0x702260039c[libsecsdk.so@0x2339c]		mov	x26, x2	X2=0x49
0x70226003a0[libsecsdk.so@0x233a0]		strb	w19, [sp, #88]	W19=0x0 SP=0x708b79f3d0
0x70226003a4[libsecsdk.so@0x233a4]		str	x21, [sp, #168]	X21=0x708b79f458 SP=0x708b79f3d0
0x70226003a8[libsecsdk.so@0x233a8]		str	x21, [sp, #176]	X21=0x708b79f458 SP=0x708b79f3d0
0x70226003ac[libsecsdk.so@0x233ac]		strb	w19, [sp, #136]	W19=0x0 SP=0x708b79f3d0
0x70226003b0[libsecsdk.so@0x233b0]		str	x22, [sp, #216]	X22=0x708b79f488 SP=0x708b79f3d0
0x70226003b4[libsecsdk.so@0x233b4]		str	x22, [sp, #224]	X22=0x708b79f488 SP=0x708b79f3d0
0x70226003b8[libsecsdk.so@0x233b8]		strb	w19, [sp, #184]	W19=0x0 SP=0x708b79f3d0
0x70226003bc[libsecsdk.so@0x233bc]		b.ls	#132	
0x7022600440[libsecsdk.so@0x23440]		adrp	x3, #53248	
0x7022600444[libsecsdk.so@0x23444]		add	x3, x3, #3840	X3=0x702260d000
0x7022600448[libsecsdk.so@0x23448]		ldrh	w0, [x3, w5, uxtw #1]	X3=0x702260df00 W5=0x7
0x702260044c[libsecsdk.so@0x2344c]		adr	x1, #12	
0x7022600450[libsecsdk.so@0x23450]		add	x0, x1, w0, sxth #2	X1=0x7022600458 W0=0x9b
0x7022600454[libsecsdk.so@0x23454]		br	x0	X0=0x70226006c4
0x70226006c4[libsecsdk.so@0x236c4]		add	x24, sp, #232	SP=0x708b79f3d0
0x70226006c8[libsecsdk.so@0x236c8]		adrp	x0, #159744	
0x70226006cc[libsecsdk.so@0x236cc]		mov	x8, x24	X24=0x708b79f4b8
0x70226006d0[libsecsdk.so@0x236d0]		add	x0, x0, #1248	X0=0x7022627000
0x70226006d4[libsecsdk.so@0x236d4]		bl	#-9120	SP=0x708b79f3d0
0x70225fe334[libsecsdk.so@0x21334]		sub	sp, sp, #112	SP=0x708b79f3d0
0x70225fe338[libsecsdk.so@0x21338]		stp	x19, x20, [sp]	X19=0x0 X20=0x708b79f428 SP=0x708b79f360
0x70225fe33c[libsecsdk.so@0x2133c]		mov	x19, x8	X8=0x708b79f4b8
0x70225fe340[libsecsdk.so@0x21340]		str	x30, [sp, #80]	LR=0x70226006d8 SP=0x708b79f360
0x70225fe344[libsecsdk.so@0x21344]		stp	x21, x22, [sp, #16]	X21=0x708b79f458 X22=0x708b79f488 SP=0x708b79f360
0x70225fe348[libsecsdk.so@0x21348]		stp	x23, x24, [sp, #32]	X23=0x7022626000 X24=0x708b79f4b8 SP=0x708b79f360
0x70225fe34c[libsecsdk.so@0x2134c]		stp	x25, x26, [sp, #48]	X25=0x708a819500 X26=0x49 SP=0x708b79f360
0x70225fe350[libsecsdk.so@0x21350]		stp	x27, x28, [sp, #64]	X27=0x708a81f3e8 X28=0x708b79f578 SP=0x708b79f360
0x70225fe354[libsecsdk.so@0x21354]		str	x8, [x19, #32]	X8=0x708b79f4b8 X19=0x708b79f4b8
0x70225fe358[libsecsdk.so@0x21358]		str	x8, [x19, #40]	X8=0x708b79f4b8 X19=0x708b79f4b8
0x70225fe35c[libsecsdk.so@0x2135c]		strb	wzr, [x8]	X8=0x708b79f4b8
0x70225fe360[libsecsdk.so@0x21360]		cbz	x0, #156	X0=0x70226274e0
0x70225fe364[libsecsdk.so@0x21364]		mov	x20, x0	X0=0x70226274e0
0x70225fe368[libsecsdk.so@0x21368]		ldrb	w21, [x20], #1	X20=0x70226274e0
0x70225fe36c[libsecsdk.so@0x2136c]		cbz	w21, #144	W21=0xeb
0x70225fe370[libsecsdk.so@0x21370]		eor	w21, w21, #0x1	W21=0xeb
0x70225fe374[libsecsdk.so@0x21374]		mov	x3, #0	
0x70225fe378[libsecsdk.so@0x21378]		and	w21, w21, #0x7f	W21=0xea
0x70225fe37c[libsecsdk.so@0x2137c]		mov	x0, x8	X8=0x708b79f4b8
0x70225fe380[libsecsdk.so@0x21380]		mov	x1, x8	X8=0x708b79f4b8
0x70225fe384[libsecsdk.so@0x21384]		mov	w25, w3	W3=0x0
0x70225fe388[libsecsdk.so@0x21388]		mov	x23, #-2	
0x70225fe38c[libsecsdk.so@0x2138c]		add	x24, sp, #104	SP=0x708b79f360
0x70225fe390[libsecsdk.so@0x21390]		adrp	x27, #61440	
0x70225fe394[libsecsdk.so@0x21394]		b	#44	
0x70225fe3c0[libsecsdk.so@0x213c0]		cmp	x19, x0	X19=0x708b79f4b8 X0=0x708b79f4b8
0x70225fe3c4[libsecsdk.so@0x213c4]		b.eq	#564	
0x70225fe5f8[libsecsdk.so@0x215f8]		sub	x1, x19, x1	X19=0x708b79f4b8 X1=0x708b79f4b8
0x70225fe5fc[libsecsdk.so@0x215fc]		add	x1, x1, #32	X1=0x0
0x70225fe600[libsecsdk.so@0x21600]		b	#-560	
0x70225fe3d0[libsecsdk.so@0x213d0]		cmp	x1, #1	X1=0x20
0x70225fe3d4[libsecsdk.so@0x213d4]		b.ls	#76	
0x70225fe3d8[libsecsdk.so@0x213d8]		ldr	x1, [x19, #32]	X19=0x708b79f4b8
0x70225fe3dc[libsecsdk.so@0x213dc]		strb	wzr, [x1, #1]	X1=0x708b79f4b8
0x70225fe3e0[libsecsdk.so@0x213e0]		ldr	x1, [x19, #32]	X19=0x708b79f4b8
0x70225fe3e4[libsecsdk.so@0x213e4]		strb	w21, [x1]	W21=0x6a X1=0x708b79f4b8
